REGISTRO DO COMPLEXO,REGISTRO DO GRUPO,NOME DO GRUPO,REGISTRO DA EMPRESA,NOME DA EMPRESA,NOME DO COMPLEXO,TOTAL SALAS DO COMPLEXO,Nº DE DIAS OBRIGAÇÃO PROPORCIONAL,OBRIGAÇÃO_TOTAL+INCREMENTO,OBRIGAÇÃO_PROP+INCREMENTO,OBRIGAÇÃO_TOTAL,OBG_FINAL,Nº DE DIAS VALIDADOS,Nº DE TÍTULOS DIFERENTES OBRIGAÇÃO,Nº DE TÍTULOS DIFERENTES DECLARADOS,CUMPRIU COTA,ANO,TRANSFERÊNCIA Dias Origem,TRANSFERÊNCIA Dias Recebidos,OBRIGAÇÃO_TOTAL_POR_SALA,OBRIGAÇÃO_TOTAL+INCREMENTO_POR_SALA,OBRIGAÇÃO_PROP_POR_SALA,OBRIGAÇÃO_PROP+INCREMENTO_POR_SALA,OBRIGAÇÃO_FINAL_POR_SALA,CUMPRIMENTO_PROPORCIONAL,DIAS_FUNC_INFERIDOS,CUMPRIMENTO_PROP_TRUNCADO,CUMPRIMENTO_LINEAR,CUMPRIMENTO_NORMALIZADO,CUMPRIMENTO_TRIWEIGHT
14061,6000081.0,ADICINE,13977,ADICINE ADMINISTRADORA DE CINEMAS EIRELI-EPP,CINESERCLA NILÓPOLIS,3,126.0,126.0,126.0,126,126.0,83.5,5,12,NÃO,2017,0.0,0.0,42.0,42.0,42.0,42.0,42.0,0.6626984126984127,365.0,0.8862276392038296,0.6626984126984127,0.3768814061372274,0.6960426813416603
18367,6000081.0,ADICINE,13977,ADICINE ADMINISTRADORA DE CINEMAS EIRELI-EPP,CINESERCLA PÁTIO MIX ITAGUAI,4,195.999989,197.0,196.999989,196,197.0,121.0,6,14,NÃO,2017,0.0,0.0,49.0,49.25,48.99999725,49.24999725,49.25,0.6142131979695431,364.9999795153061,0.8511685433791131,0.6142131979695431,0.37033241360997576,0.6166613013786197
27434,6000081.0,ADICINE,13977,ADICINE ADMINISTRADORA DE CINEMAS EIRELI-EPP,CINESERCLA SHOPPING MONTSERRAT,5,280.0,281.5,281.5,280,281.5,130.5,8,16,NÃO,2017,0.0,0.0,56.0,56.3,56.0,56.3,56.3,0.4635879218472469,365.0,0.7122620824118447,0.46358792184724695,0.345484502522073,0.3613428580524115
28475,6000081.0,ADICINE,13977,ADICINE ADMINISTRADORA DE CINEMAS EIRELI-EPP,CINESERCLA TEIXEIRA DE FREITAS,3,126.0,126.0,126.0,126,126.0,76.0,5,11,NÃO,2017,0.0,0.0,42.0,42.0,42.0,42.0,42.0,0.6031746031746031,365.0,0.8425296044343663,0.6031746031746031,0.36873622388294,0.5980748080778067
38005,6000000.0,AFA,12264,AFA CINEMATOGRÁFICA LTDA ME,CINE RITZ ITAÚNA,3,16.22466,126.0,16.22466,126,16.22,11.5,5,2,NÃO,2017,0.0,0.0,42.0,42.0,5.40822,5.40822,5.406666666666666,0.7090012330456228,47.00000714285714,0.915319717631032,0.7090012330456228,0.38240360353115554,0.7668641824057568
34408,6000000.0,AFA,34407,CINE RITZ DIVINÓPOLIS LTDA. - EPP,CINE RITZ PÁTIO DIVINÓPOLIS,5,280.0,280.0,280.0,280,280.0,164.5,8,16,NÃO,2017,0.0,0.0,56.0,56.0,56.0,56.0,56.0,0.5875,365.0,0.82984375,0.5875,0.36640475882585577,0.5714641389122009
24026,6000000.0,AFA,24025,CINE SÃO MATEUS LTDA,CINE SÃO MATEUS,1,28.0,28.0,28.0,28,28.0,13.5,3,3,NÃO,2017,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.48214285714285715,365.0,0.7318239795918369,0.4821428571428572,0.34888024841621007,0.3919402881560678
32422,6000000.0,AFA,32420,CINEMATOGRAFICA ARACRUZ LTDA ME,CINE RITZ ARACRUZ,2,69.999996,70.0,69.999996,70,70.0,43.5,4,7,NÃO,2017,0.0,0.0,35.0,35.0,34.999998,34.999998,35.0,0.6214285714285714,364.9999791428571,0.8566836734693878,0.6214285714285714,0.3713550386583545,0.6287260731167233
35405,6000000.0,AFA,5221,CINEMATOGRÁFICA CACHOEIRO LTDA ME,CINE RITZ PERIM,3,126.0,126.0,126.0,126,126.0,3.5,5,3,NÃO,2017,0.0,0.0,42.0,42.0,42.0,42.0,42.0,0.027777777777777776,365.0,0.05478395061728403,0.02777777777777779,0.24869039297338666,0.00016442204352764533
31643,6000000.0,AFA,31641,CINEMATOGRÁFICA CATAGUASES LTDA EPP,CINE RITZ CATAGUASES,2,69.999996,70.0,69.999996,70,70.0,77.0,4,14,SIM,2017,0.0,0.0,35.0,35.0,34.999998,34.999998,35.0,1.1,364.9999791428571,0.99,0.8999999999999999,0.3969525474770118,0.970299
