REGISTRO DO GRUPO,ANO,NOME DO GRUPO,REGISTRO DA EMPRESA,REGISTRO DO COMPLEXO,TOTAL SALAS DO COMPLEXO,Nº DE DIAS OBRIGAÇÃO PROPORCIONAL,OBRIGAÇÃO_TOTAL+INCREMENTO,OBRIGAÇÃO_PROP+INCREMENTO,OBRIGAÇÃO_TOTAL,OBG_FINAL,Nº DE DIAS VALIDADOS,Nº DE TÍTULOS DIFERENTES OBRIGAÇÃO,Nº DE TÍTULOS DIFERENTES DECLARADOS,TRANSFERÊNCIA Dias Origem,TRANSFERÊNCIA Dias Recebidos,OBRIGAÇÃO_TOTAL_POR_SALA,OBRIGAÇÃO_TOTAL+INCREMENTO_POR_SALA,OBRIGAÇÃO_PROP_POR_SALA,OBRIGAÇÃO_PROP+INCREMENTO_POR_SALA,OBRIGAÇÃO_FINAL_POR_SALA,CUMPRIMENTO_PROPORCIONAL,DIAS_FUNC_INFERIDOS,CUMPRIMENTO_PROP_TRUNCADO,CUMPRIMENTO_LINEAR,CUMPRIMENTO_NORMALIZADO,CUMPRIMENTO_TRIWEIGHT
729.0,2017,,1,1,1,1.227397,28.0,1.227397,28,1.227397,0.0,3,SEM ENVIO VÁLIDO NO SCB,0.0,0.0,28.0,28.0,1.227397,1.227397,1.227397,0.0,15.99999660714286,0.0,0.0,0.24197072451914337,0.0
945.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,15.0,3,2,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.5357142857142857,365.0,0.784438775510204,0.5357142857142857,0.3581801719959186,0.5357142857142857
2140.0,2017,,1,1,7,441.0,441.0,441.0,441,441.0,418.0,11,78,0.0,0.0,63.0,63.0,63.0,63.0,63.0,0.9478458049886621,365.0,0.9972799399427194,0.9478458049886621,0.39840007571129815,0.9478458049886621
2351.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,17.0,3,4,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.6071428571428571,365.0,0.8456632653061225,0.6071428571428571,0.36931442387371427,0.6071428571428571
2373.0,2017,,1,1,2,69.999996,70.0,69.999996,70,70.0,67.0,4,18,0.0,0.0,35.0,35.0,34.999998,34.999998,35.0,0.9571428571428572,364.9999791428571,0.9981632653061224,0.9571428571428572,0.39857607301998765,0.9571428571428572
2522.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,0.0,3,SEM ENVIO VÁLIDO NO SCB,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.0,365.0,0.0,0.0,0.24197072451914337,0.0
2645.0,2017,,1,1,2,69.999996,70.0,69.999996,70,70.0,21.5,4,8,0.0,0.0,35.0,35.0,34.999998,34.999998,35.0,0.30714285714285716,364.9999791428571,0.5199489795918368,0.30714285714285716,0.31381110723369326,0.30714285714285716
2702.0,2017,,1,1,2,69.999996,70.0,69.999996,70,70.0,0.0,4,SEM ENVIO VÁLIDO NO SCB,0.0,0.0,35.0,35.0,34.999998,34.999998,35.0,0.0,364.9999791428571,0.0,0.0,0.24197072451914337,0.0
2864.0,2017,,1,1,3,126.0,126.0,126.0,126,126.0,0.0,5,SEM ENVIO VÁLIDO NO SCB,0.0,0.0,42.0,42.0,42.0,42.0,42.0,0.0,365.0,0.0,0.0,0.24197072451914337,0.0
2950.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,31.5,3,6,0.0,0.0,28.0,28.0,28.0,28.0,28.0,1.125,365.0,0.984375,0.875,0.3958376869447495,0.875
2954.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,24.0,3,3,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.8571428571428571,365.0,0.9795918367346939,0.8571428571428571,0.39489213993026107,0.8571428571428571
3072.0,2017,,1,1,3,126.0,126.0,126.0,126,126.0,0.0,5,SEM ENVIO VÁLIDO NO SCB,0.0,0.0,42.0,42.0,42.0,42.0,42.0,0.0,365.0,0.0,0.0,0.24197072451914337,0.0
4051.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,27.0,3,9,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.9642857142857143,365.0,0.9987244897959183,0.9642857142857143,0.39868793404065245,0.9642857142857143
4745.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,124.5,3,23,0.0,0.0,28.0,28.0,28.0,28.0,28.0,4.446428571428571,365.0,0.0,0.0,0.0010511468401100184,0.0
4775.0,2017,,1,1,2,69.999996,70.0,69.999996,70,70.0,57.5,4,6,0.0,0.0,35.0,35.0,34.999998,34.999998,35.0,0.8214285714285714,364.9999791428571,0.9681122448979592,0.8214285714285714,0.3926320321210658,0.8214285714285714
4780.0,2017,,1,1,3,126.0,126.0,126.0,126,126.0,0.0,5,SEM ENVIO VÁLIDO NO SCB,0.0,0.0,42.0,42.0,42.0,42.0,42.0,0.0,365.0,0.0,0.0,0.24197072451914337,0.0
4932.0,2017,,1,1,4,195.999989,196.0,195.999989,196,196.0,104.5,6,24,0.0,0.0,49.0,49.0,48.99999725,48.99999725,49.0,0.5331632653061225,364.9999795153061,0.7820634631403582,0.5331632653061225,0.35775502961079536,0.5331632653061225
5091.0,2017,,1,1,1,26.465754,28.0,26.465754,28,26.47,69.0,3,46,0.0,0.0,28.0,28.0,26.465754,26.465754,26.47,2.606724593879864,345.00000750000004,0.0,0.0,0.10973131484601689,0.0
5294.0,2017,,1,1,3,126.0,126.0,126.0,126,126.0,76.5,5,9,0.0,0.0,42.0,42.0,42.0,42.0,42.0,0.6071428571428571,365.0,0.8456632653061225,0.6071428571428571,0.36931442387371427,0.6071428571428571
5465.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,24.5,3,5,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.875,365.0,0.984375,0.875,0.3958376869447495,0.875
5633.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,0.0,3,SEM ENVIO VÁLIDO NO SCB,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.0,365.0,0.0,0.0,0.24197072451914337,0.0
5725.0,2017,,1,1,2,69.999996,70.0,69.999996,70,70.0,54.0,4,10,0.0,0.0,35.0,35.0,34.999998,34.999998,35.0,0.7714285714285715,364.9999791428571,0.9477551020408164,0.7714285714285715,0.38865586909524175,0.7714285714285715
5822.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,15.5,3,25,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.5535714285714286,365.0,0.8007015306122449,0.5535714285714286,0.36110454367772915,0.5535714285714286
5944.0,2017,,1,1,2,69.999996,70.0,69.999996,70,70.0,86.0,4,7,0.0,0.0,35.0,35.0,34.999998,34.999998,35.0,1.2285714285714286,364.9999791428571,0.9477551020408163,0.7714285714285714,0.38865586909524175,0.7714285714285714
5950.0,2017,,1,1,2,69.999996,70.0,69.999996,70,70.0,35.5,4,7,0.0,0.0,35.0,35.0,34.999998,34.999998,35.0,0.5071428571428571,364.9999791428571,0.7570918367346938,0.5071428571428571,0.35331593764464125,0.5071428571428571
5972.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,19.0,3,5,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.6785714285714286,365.0,0.8966836734693878,0.6785714285714286,0.378856908064941,0.6785714285714286
6004.0,2017,,1,1,1,20.175343,28.0,20.175343,28,20.18,0.0,3,0,0.0,0.0,28.0,28.0,20.175343,20.175343,20.18,0.0,263.0000069642857,0.0,0.0,0.24197072451914337,0.0
7010.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,7.0,3,1,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.25,365.0,0.4375,0.25,0.30113743215480443,0.25
11990.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,66.0,3,17,0.0,0.0,28.0,28.0,28.0,28.0,28.0,2.357142857142857,365.0,0.0,0.0,0.15884015441915675,0.0
12034.0,2017,,1,1,4,195.999989,196.0,195.999989,196,196.0,0.0,6,SEM ENVIO VÁLIDO NO SCB,0.0,0.0,49.0,49.0,48.99999725,48.99999725,49.0,0.0,364.9999795153061,0.0,0.0,0.24197072451914337,0.0
12323.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,32.5,3,29,0.0,0.0,28.0,28.0,28.0,28.0,28.0,1.1607142857142858,365.0,0.9741709183673469,0.8392857142857142,0.39382325014848035,0.8392857142857142
12439.0,2017,,1,1,6,378.0,378.0,378.0,378,378.0,412.0,9,81,0.0,0.0,63.0,63.0,63.0,63.0,63.0,1.08994708994709,365.0,0.9919095210100501,0.91005291005291,0.39733172307385045,0.91005291005291
12476.0,2017,,1,1,2,69.999996,70.0,69.999996,70,70.0,27.0,4,12,0.0,0.0,35.0,35.0,34.999998,34.999998,35.0,0.38571428571428573,364.9999791428571,0.6226530612244898,0.3857142857142857,0.3303468874284921,0.3857142857142857
12702.0,2017,,1,1,1,21.326028,28.0,21.326028,28,21.33,0.0,3,SEM ENVIO VÁLIDO NO SCB,0.0,0.0,28.0,28.0,21.326028,21.326028,21.33,0.0,278.00000785714286,0.0,0.0,0.24197072451914337,0.0
13286.0,2017,,1,1,2,69.999996,70.0,69.999996,70,70.0,40.0,4,9,0.0,0.0,35.0,35.0,34.999998,34.999998,35.0,0.5714285714285714,364.9999791428571,0.8163265306122449,0.5714285714285714,0.36393672171548364,0.5714285714285714
14325.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,3.0,3,2,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.10714285714285714,365.0,0.20280612244897955,0.1071428571428571,0.2677944763458458,0.1071428571428571
14347.0,2017,,1,1,1,24.317809,28.0,24.317809,28,24.32,11.5,3,3,0.0,0.0,28.0,28.0,24.317809,24.317809,24.32,0.47286184210526316,317.0000101785714,0.7221253624913435,0.47286184210526316,0.3471925159197288,0.47286184210526316
14393.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,0.0,3,SEM ENVIO VÁLIDO NO SCB,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.0,365.0,0.0,0.0,0.24197072451914337,0.0
14489.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,34.0,3,15,0.0,0.0,28.0,28.0,28.0,28.0,28.0,1.2142857142857142,365.0,0.9540816326530612,0.7857142857142858,0.3898872372672994,0.7857142857142858
14527.0,2017,,1,1,2,69.999996,70.0,69.999996,70,70.0,30.0,4,7,0.0,0.0,35.0,35.0,34.999998,34.999998,35.0,0.42857142857142855,364.9999791428571,0.6734693877551021,0.4285714285714286,0.33884793575678757,0.4285714285714286
14635.0,2017,,1,1,2,69.999996,70.0,69.999996,70,70.0,57.5,4,6,0.0,0.0,35.0,35.0,34.999998,34.999998,35.0,0.8214285714285714,364.9999791428571,0.9681122448979592,0.8214285714285714,0.3926320321210658,0.8214285714285714
14637.0,2017,,1,1,2,69.999996,70.0,69.999996,70,70.0,18.5,4,6,0.0,0.0,35.0,35.0,34.999998,34.999998,35.0,0.2642857142857143,364.9999791428571,0.4587244897959183,0.26428571428571423,0.30435019348615794,0.26428571428571423
14781.0,2017,,1,1,3,126.0,126.0,126.0,126,126.0,135.0,5,10,0.0,0.0,42.0,42.0,42.0,42.0,42.0,1.0714285714285714,365.0,0.9948979591836735,0.9285714285714286,0.3979258674986881,0.9285714285714286
14789.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,38.5,3,13,0.0,0.0,28.0,28.0,28.0,28.0,28.0,1.375,365.0,0.859375,0.625,0.37185509386976895,0.625
14813.0,2017,,1,1,4,195.999989,196.0,195.999989,196,196.0,93.5,6,11,0.0,0.0,49.0,49.0,48.99999725,48.99999725,49.0,0.4770408163265306,364.9999795153061,0.7265136922115785,0.4770408163265306,0.34795514990423443,0.4770408163265306
14819.0,2017,,1,1,2,69.999996,70.0,69.999996,70,70.0,0.0,4,SEM ENVIO VÁLIDO NO SCB,0.0,0.0,35.0,35.0,34.999998,34.999998,35.0,0.0,364.9999791428571,0.0,0.0,0.24197072451914337,0.0
14822.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,242.5,3,39,0.0,0.0,28.0,28.0,28.0,28.0,28.0,8.660714285714286,365.0,0.0,0.0,7.199280460874997e-14,0.0
14828.0,2017,,1,1,2,69.999996,70.0,69.999996,70,70.0,25.5,4,5,0.0,0.0,35.0,35.0,34.999998,34.999998,35.0,0.36428571428571427,364.9999791428571,0.5958673469387756,0.3642857142857143,0.3259520938692066,0.3642857142857143
14837.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,29.5,3,5,0.0,0.0,28.0,28.0,28.0,28.0,28.0,1.0535714285714286,365.0,0.9971301020408163,0.9464285714285714,0.3983702291136187,0.9464285714285714
14877.0,2017,,1,1,1,28.0,28.0,28.0,28,28.0,0.0,3,SEM ENVIO VÁLIDO NO SCB,0.0,0.0,28.0,28.0,28.0,28.0,28.0,0.0,365.0,0.0,0.0,0.24197072451914337,0.0
