ANO_CINEMATOGRAFICO,QTDE_DIF_TIT_EXIB,QTDE_DIF_TIT_EXIB_BR,QTDE_DIF_TIT_EXIB_EST,PUBLICO,RENDA,QTDE_SESSOES,DIAS_FUNCIONAMENTO,TOT_SALAS_FUNC,QTD_SALAS_NUNIQUE,SALAS_COMPLEXO_INFERIDO,ASSENTOS_COMPLEXO_INFERIDO,CAPACIDADE_TOTAL_COMPLEXO,UF_COMPLEXO,OCUPAÇÃO_MÉDIA,OBRIGAÇÃO_TOTAL_POR_SALA,OBRIGAÇÃO_TOTAL_INCREMENTO_POR_SALA,OBRIGAÇÃO_PROP_POR_SALA,OBRIGAÇÃO_PROP_INCREMENTO_POR_SALA,OBRIGAÇÃO_FINAL_POR_SALA,TRANSF_ORIGEM,TRANSF_RECEBIDOS,TRANSF_FLAG,CUMPRIU_COTA,TOTAL_SALAS,DIAS_FUNC_INFERIDOS,CUMPRIMENTO_PROP_TRUNCADO,CUMPRIMENTO_PROPORCIONAL,CUMPRIMENTO_LINEAR,CUMPRIMENTO_TRIWEIGHT,CUMPRIMENTO_NORMALIZADO,REGISTRO_COMPLEXO,REG_EMPRESA,REGISTRO_GRUPO,CEP_COMPLEXO,MUN_COMPLEXO
2017,18,18,0,9354,84779.09170732489,990,327.0,0,3,3.0,511.0,505890.0,MG,0.05824009896385595,42.0,42.0,42.0,42.0,63.0,0.0,63.0,1.0,SIM,3.0,365.0,0.9552084208168864,1.2116402116402116,0.7883597883597884,0.8715542544490298,0.3901069593186289,a17c914b36334b86a8dbd1083c12959c,c2ceacc285ac4caeb78f6d03a7912811,d77376c584f14155913ba3583cc1fe3e,a549a0511e31472b901ec25451095f68,ec520a027fad4d928e96fe8f97f502f5
2017,37,37,0,56123,817284.1905413962,2190,321.0,0,8,8.0,1587.0,3475530.0,MG,0.14906242357057686,60.0,60.1875,59.99997375,60.18747375,62.6875,0.0,20.0,1.0,SIM,8.0,364.9998403125,1.0,1.0,1.0,1.0,0.3989422804014327,301494089e3940a3972fc44d12bef3b0,c2ceacc285ac4caeb78f6d03a7912811,d77376c584f14155913ba3583cc1fe3e,9bd1a2028de74e89a9a8095e87c9bd43,983fb312bf1c4cacbc5db4d004d62d4b
2017,28,28,0,59774,1023991.5844937951,1963,364.0,7,8,8.0,1469.0,2883647.0,SP,0.207720356497789,60.0,60.1875,59.5756605,59.7631605,52.88875,55.0,0.0,1.0,SIM,8.0,362.418601375,0.9993375559862041,1.0257379877573207,0.9742620122426792,0.9980139841641246,0.3988101638198492,ac3ab851c5c345f5993d25b91979c2b7,3baa1f1afc8e4802a1eb675d64227bf1,43b1edfee60b4bf28a43a3ee7207aaec,904cb65872914a19adac6f6113c43271,c59c8f12d12941d98cf75e3387b568de
2017,32,32,0,64802,1012476.7662814952,2864,364.0,7,10,10.0,2043.0,5851152.0,SP,0.1248810853113102,56.0,56.1,55.99997550000001,56.099975500000006,68.1,0.0,120.0,1.0,SIM,10.0,364.99984031250006,0.9988091926660501,1.0345080763582966,0.9654919236417034,0.9964318303758783,0.3987048194043597,95ec3a8a3a074427beb5a6672aadfd52,3baa1f1afc8e4802a1eb675d64227bf1,43b1edfee60b4bf28a43a3ee7207aaec,6199c473a7124add83981d3b3aed8492,b6032d90c8eb440b8e2d274e258e44c4
2017,33,33,0,110919,1921491.3278248385,3186,364.0,5,13,13.0,2832.0,9022752.0,SP,0.18593229763749267,48.0,48.07692307692307,47.526654769230774,47.60357784615384,57.18076923076922,0.0,124.5,1.0,SIM,13.0,361.4006039743589,0.9977640403234728,1.047285935292931,0.9527140647070692,0.9933071083387282,0.3984965201972024,ea42095926474d3599c890475900a231,3baa1f1afc8e4802a1eb675d64227bf1,43b1edfee60b4bf28a43a3ee7207aaec,50a098f0e12340b989c9141b25141cb2,c59c8f12d12941d98cf75e3387b568de
2017,33,33,0,88667,1707007.8311590438,2747,364.0,9,11,11.0,3210.0,8817870.0,SP,0.11755679662009567,53.0,53.09090909090909,52.743463,52.83437209090909,57.33454545454545,0.0,49.5,1.0,SIM,11.0,363.2332829245283,0.9990615824391292,1.0306336018266,0.9693663981734,0.9971873883735474,0.3987551370886577,dcb0f3aeb6b248f58bee12cfe8ed22c0,3baa1f1afc8e4802a1eb675d64227bf1,43b1edfee60b4bf28a43a3ee7207aaec,c85528aba0f24f1f8d3eb9afa79e7a4d,c59c8f12d12941d98cf75e3387b568de
2017,42,42,0,55957,784156.3074235233,3040,364.0,0,12,12.0,2263.0,6879520.0,RJ,0.11228270993750893,50.0,50.0,48.78358,48.78358,57.11666666666667,0.0,100.0,1.0,SIM,12.0,356.120134,0.9967456420881944,1.0570469798657718,0.9429530201342282,0.9902686643344356,0.3982936577738024,c626ed5a3ba541f4a5271559912d4ca2,3baa1f1afc8e4802a1eb675d64227bf1,43b1edfee60b4bf28a43a3ee7207aaec,6eb57a2140c14656ad56a0f19c252024,31b24a3e4b71498fa6942ec51fc8b2f4
2017,31,31,0,53117,924044.8828251187,2434,364.0,8,9,9.0,2091.0,5089494.0,SP,0.12755570092099783,59.0,59.111111111111114,58.93792455555555,59.04903566666667,64.10444444444445,0.0,45.5,1.0,SIM,9.0,364.61597394538614,0.9976345485814074,1.0486359066800706,0.9513640933199294,0.9929204185899102,0.3984707200281349,adabc19211c342cc9d560da1919a7b67,3baa1f1afc8e4802a1eb675d64227bf1,43b1edfee60b4bf28a43a3ee7207aaec,c413ee724da148bba3fd1ec65dd27b48,613545f63c534ecc895394d63043ff04
2017,27,27,0,38212,511256.1447774262,2074,364.0,0,8,8.0,2211.0,4585614.0,RS,0.08538870320201344,60.0,60.0,59.99997375,59.99997375,62.6875,0.0,21.5,1.0,SIM,8.0,364.9998403125,0.9984880850966542,1.0388833499501495,0.9611166500498504,0.9954711094939214,0.39864081097516224,ecab152ee62e409489e36f7642dbfd95,3baa1f1afc8e4802a1eb675d64227bf1,43b1edfee60b4bf28a43a3ee7207aaec,1945c916fb494010ba335df15006d39f,ec9a0926f19d454e8cd519a651acfdca
2017,32,32,0,60778,978581.3077552435,2728,364.0,8,10,10.0,2869.0,7826632.0,SP,0.10797453809762622,56.0,56.1,55.928469799999995,56.028469799999996,62.478,0.0,64.5,1.0,SIM,10.0,364.53377637500006,0.9991022457882702,1.0299625468164797,0.9700374531835204,0.9973091545291284,0.3987632445307569,cdcfc3e6b1204bceb9aca0248de0b908,3baa1f1afc8e4802a1eb675d64227bf1,43b1edfee60b4bf28a43a3ee7207aaec,c7d2e217604a458f97a6f5b9a19b37e1,c59c8f12d12941d98cf75e3387b568de
