ANO_CINEMATOGRAFICO,G_QTDE_TIT_DIF_EXIB,G_QTDE_DIF_TIT_EXIB_BR,G_QTDE_DIF_TIT_EXIB_EST,PUBLICO,RENDA,QTDE_SESSOES,DIAS_FUNCIONAMENTO_GRUPO,REG_EMPRESA,REGISTRO_COMPLEXO,REGISTRO_SALA,SALAS_GRUPO_INFERIDO,ASSENTOS_GRUPO_INFERIDO,CAPACIDADE_TOTAL_GRUPO,OCUPAÇÃO_MÉDIA,OBRIGAÇÃO_TOTAL_POR_SALA,OBRIGAÇÃO_TOTAL_INCREMENTO_POR_SALA,OBRIGAÇÃO_PROP_POR_SALA,OBRIGAÇÃO_PROP_INCREMENTO_POR_SALA,OBRIGAÇÃO_FINAL_POR_SALA,TRANSF_ORIGEM,TRANSF_RECEBIDOS,CUMPRIMENTO_PROP_TRUNCADO,CUMPRIMENTO_PROPORCIONAL,CUMPRIMENTO_LINEAR,CUMPRIMENTO_TRIWEIGHT,CUMPRIMENTO_NORMALIZADO,DIAS_FUNCIONAMENTO,QTDE_DIF_TIT_EXIB,QTDE_DIF_TIT_EXIB_BR,QTDE_DIF_TIT_EXIB_EST,REGISTRO_GRUPO
2017,2,2,0,538,7508.562846185002,42,1.0,1,1,1,1.0,289.0,12138.0,0.044323611797660235,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.7844387755102041,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.3581801719959186,,,,,48d3f5464e8a4be0b6b86a470c0175fb
2017,78,78,0,79466,778454.9704887017,1912,1.0,1,1,7,7.0,1486.0,2841232.0,0.18611502543272862,63.0,63.0,63.0,63.0,63.0,0.0,0.0,0.9972799399427194,0.947845804988662,0.947845804988662,0.947845804988662,0.39840007571129815,,,,,e6507985b87141a68eb30304761a9ea6
2017,4,4,0,788,11260.952042249537,80,1.0,1,1,1,1.0,154.0,12320.0,0.06396103896103897,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.8456632653061225,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.3693144238737143,,,,,969ba89f9e6a4d52b7605073ee8d9824
2017,18,18,0,8217,62433.67194710831,341,1.0,1,1,2,2.0,418.0,142538.0,0.11562134102456695,35.0,35.0,34.999998,34.999998,35.0,0.0,0.0,0.9981632653061224,0.9571428571428572,0.9571428571428572,0.9571428571428572,0.3985760730199877,,,,,61e3da90c4df4aa39cf42f60b7ce259b
2017,8,8,0,2321,26336.621366947842,112,1.0,1,1,2,2.0,260.0,29120.0,0.1712388392857143,35.0,35.0,34.999998,34.999998,35.0,0.0,0.0,0.5199489795918368,0.3071428571428572,0.3071428571428572,0.3071428571428572,0.3138111072336933,,,,,94d24fd329404f8eaed342bb5040c892
2017,6,6,0,392,4288.46343653026,49,1.0,1,1,1,1.0,724.0,35476.0,0.011049723756906077,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.984375,1.125,0.875,0.875,0.3958376869447495,,,,,dd8ca75884704aa3a2ca77fbfe98101d
2017,3,3,0,562,3113.8761238373027,38,1.0,1,1,1,1.0,270.0,10260.0,0.054775828460038985,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.979591836734694,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.39489213993026107,,,,,b7069e43381f4434bd5c737ac75a95fc
2017,8,8,0,2952,39926.42369832034,98,1.0,1,1,1,1.0,172.0,16856.0,0.17513051732320836,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.9987244897959184,0.9642857142857144,0.9642857142857144,0.9642857142857144,0.3986879340406525,,,,,8d92b655cc944dbfada078da33e32901
2017,23,23,0,2413,13361.832975441996,483,1.0,1,1,1,1.0,73.0,35259.0,0.06843642757877406,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.0,4.446428571428571,0.0,0.0,0.0010511468401100184,,,,,f99fc31459e547e29c9dd44c819f2167
2017,6,6,0,2838,37690.46100729672,153,1.0,1,1,2,2.0,559.0,85527.0,0.1391651312931588,35.0,35.0,34.999998,34.999998,35.0,0.0,0.0,0.9681122448979592,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.3926320321210658,,,,,3b01007de0b34e6caa472d2da9a65284
2017,24,24,0,14526,259119.15277742757,682,1.0,1,1,4,4.0,408.0,278256.0,0.20679917454110994,49.0,49.0,48.99999725,48.99999725,49.0,0.0,0.0,0.7820634631403582,0.5331632653061225,0.5331632653061225,0.5331632653061225,0.35775502961079536,,,,,4361cb234ed44c279339ced35b604c16
2017,46,46,0,13046,104015.5933188618,406,1.0,1,1,1,1.0,293.0,118958.0,0.1096689587921788,28.0,28.0,26.465753999999997,26.465753999999997,26.47,0.0,0.0,0.0,2.606724593879864,0.0,0.0,0.10973131484601688,,,,,a7edab8bdda24b168a0206f68233d9e9
2017,9,9,0,5607,96186.52870636314,494,1.0,1,1,3,3.0,619.0,305786.0,0.07046713861315784,42.0,42.0,42.0,42.0,42.0,0.0,0.0,0.8456632653061225,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.3693144238737143,,,,,055d63b37109475a871b01b09073560e
2017,5,5,0,3983,75364.47332091154,77,1.0,1,1,1,1.0,2000.0,154000.0,0.025863636363636356,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.984375,0.875,0.875,0.875,0.3958376869447495,,,,,c03c5cd9c7194a009f3b1cd48a614f90
2017,10,10,0,5764,38141.904685150475,233,1.0,1,1,2,2.0,198.0,46134.0,0.25199865353866874,35.0,35.0,34.999998,34.999998,35.0,0.0,0.0,0.9477551020408164,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.38865586909524175,,,,,3fdf054248e048a58fc529d97eb6ec47
2017,25,25,0,2047,26148.719798106016,94,1.0,1,1,1,1.0,250.0,23500.0,0.08710638297872333,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.8007015306122449,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.3611045436777292,,,,,d7c04e8a3b4c466e9e757dc8899a8654
2017,7,7,0,4362,54753.18203455774,225,1.0,1,1,2,2.0,272.0,61200.0,0.14497126382156295,35.0,35.0,34.999998,34.999998,35.0,0.0,0.0,0.9477551020408164,1.2285714285714286,0.7714285714285714,0.7714285714285714,0.38865586909524175,,,,,5c77430c1d1b4096a6d4fa761a87d28d
2017,6,6,0,3698,50416.39665744352,153,1.0,1,1,2,2.0,449.0,68697.0,0.13082537900056154,35.0,35.0,34.999998,34.999998,35.0,0.0,0.0,0.7570918367346938,0.5071428571428571,0.5071428571428571,0.5071428571428571,0.35331593764464125,,,,,f0cf63405ce64b6ca7cdad32e89aba39
2017,5,5,0,3818,42156.691803530724,94,1.0,1,1,1,1.0,216.0,20304.0,0.1880417651694247,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.8966836734693878,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.37885690806494104,,,,,4f91f821c0854a96a91e7bf80696dbce
2017,1,1,0,335,3114.948023279974,16,1.0,1,1,1,1.0,220.0,3520.0,0.09517045454545456,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.4375,0.25,0.25,0.25,0.30113743215480443,,,,,2b7669cfa58445a5b181eda1306e65e9
2017,17,17,0,1620,26577.10387952567,298,1.0,1,1,1,1.0,50.0,14900.0,0.10872483221476491,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.0,2.357142857142857,0.0,0.0,0.15884015441915675,,,,,291e6726f65a45dcb2ec91e1b53f290b
2017,29,29,0,688,7092.088563952333,113,1.0,1,1,1,1.0,130.0,14690.0,0.04683458134785563,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.9741709183673468,1.1607142857142858,0.8392857142857142,0.8392857142857142,0.3938232501484804,,,,,4b513d8d92164fa68cb5602512e08426
2017,81,81,0,50372,835469.43958176,2009,1.0,1,1,6,6.0,1034.0,2077306.0,0.19296550818419841,63.0,63.0,63.0,63.0,63.0,0.0,0.0,0.99190952101005,1.08994708994709,0.91005291005291,0.91005291005291,0.3973317230738505,,,,,67de4098d8864f428eb66822b3831bc7
2017,12,12,0,5991,64747.81110553166,219,1.0,1,1,2,2.0,354.0,77526.0,0.16438258595792843,35.0,35.0,34.999998,34.999998,35.0,0.0,0.0,0.6226530612244898,0.3857142857142857,0.3857142857142857,0.3857142857142857,0.3303468874284921,,,,,33eb62b399ce42d99aeaca19d8dadb5d
2017,9,9,0,796,7040.362239839319,213,1.0,1,1,2,2.0,472.0,100536.0,0.015835123736770915,35.0,35.0,34.999998,34.999998,35.0,0.0,0.0,0.8163265306122449,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.3639367217154837,,,,,362d08ada8114c1ab3984996bb96c769
2017,2,2,0,98,634.3160142795887,13,1.0,1,1,1,1.0,1535.0,19955.0,0.004911049862189927,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.20280612244897955,0.10714285714285714,0.1071428571428571,0.1071428571428571,0.2677944763458458,,,,,99a61635c7244a9099cd4f7401b8839c
2017,3,3,0,1579,16814.0200608011,40,1.0,1,1,1,1.0,450.0,18000.0,0.08772222222222223,28.0,28.0,24.317809,24.317809,24.32,0.0,0.0,0.7221253624913435,0.4728618421052632,0.4728618421052632,0.4728618421052632,0.3471925159197288,,,,,7e0fb7ee334c494b8f75a06c9b8bcd37
