ANO_CINEMATOGRAFICO,QTDE_TIT_DIF_EXIB,PUBLICO,RENDA,QTDE_SESSOES,DIAS_FUNCIONAMENTO,QTDE_EMPRESAS,QTDE_COMPLEXOS,QTDE_SALAS,SALAS_GRUPO_INFERIDO,ASSENTOS_GRUPO_INFERIDO,OBRIGAÇÃO_TOTAL_POR_SALA,OBRIGAÇÃO_TOTAL_INCREMENTO_POR_SALA,OBRIGAÇÃO_PROP_POR_SALA,OBRIGAÇÃO_PROP_INCREMENTO_POR_SALA,OBRIGAÇÃO_FINAL_POR_SALA,CUMP_QUADRATIC,CUMP_NORMALIZADO,TRANSF_ORIGEM,TRANSF_RECEBIDOS,CUMPRIMENTO_PROPORCIONAL,CUMP_LINEAR,CUMP_TRIWEIGHT,REGISTRO_GRUPO
2017,22,22329,301687.8124049576,667,1.0,1,1,1,1.0,289.0,28.0,28.0,28.0,28.0,28.0,0.7844387755102041,0.3581801719959186,0.0,0.0,0.5357142857142857,0.5357142857142857,0.5357142857142857,086b6c0fdc964368a2057cd13c512922
2017,173,450886,5749051.802724679,7911,1.0,1,1,7,7.0,1486.0,63.0,63.0,63.0,63.0,63.0,0.9972799399427194,0.39840007571129815,0.0,0.0,0.947845804988662,0.947845804988662,0.947845804988662,bacde60f6ec54a96b47e33b2f17c0baf
2017,30,41282,662001.0706054294,1121,1.0,1,1,1,1.0,154.0,28.0,28.0,28.0,28.0,28.0,0.8456632653061225,0.3693144238737143,0.0,0.0,0.6071428571428571,0.6071428571428571,0.6071428571428571,75984adcf0084fe9bd265a8c5b074eea
2017,53,75872,581390.3198616095,1816,1.0,1,1,2,2.0,418.0,35.0,35.0,34.999998,34.999998,35.0,0.9981632653061224,0.3985760730199877,0.0,0.0,0.9571428571428572,0.9571428571428572,0.9571428571428572,8f8557d0d5f242358518322117daeef6
2017,30,32905,394339.2667528939,950,1.0,1,1,2,2.0,260.0,35.0,35.0,34.999998,34.999998,35.0,0.5199489795918368,0.3138111072336933,0.0,0.0,0.3071428571428572,0.3071428571428572,0.3071428571428572,5ef951fd8a954398a72b14c19754dea5
2017,44,5736,62361.08150380482,494,1.0,1,1,1,1.0,724.0,28.0,28.0,28.0,28.0,28.0,0.984375,0.3958376869447495,0.0,0.0,1.125,0.875,0.875,5c81c691b5834e31b4a192c92b26a7d5
2017,28,17340,101082.26201420746,385,1.0,1,1,1,1.0,270.0,28.0,28.0,28.0,28.0,28.0,0.9795918367346941,0.39489213993026107,0.0,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,ed64993280e1475e9eb4c7d019636295
2017,35,37487,568032.0022070569,886,1.0,1,1,1,1.0,172.0,28.0,28.0,28.0,28.0,28.0,0.9987244897959184,0.3986879340406525,0.0,0.0,0.9642857142857144,0.9642857142857144,0.9642857142857144,2436778f71e54417b574588890dec855
2017,44,46631,650636.4440654707,1403,1.0,1,1,2,2.0,559.0,35.0,35.0,34.999998,34.999998,35.0,0.9681122448979592,0.3926320321210658,0.0,0.0,0.8214285714285714,0.8214285714285714,0.8214285714285714,f04178720ebe4c6dbd57b035a5ead5e5
2017,140,95007,1682166.5903649658,4253,1.0,1,1,4,4.0,408.0,49.0,49.0,48.99999725,48.99999725,49.0,0.7820634631403582,0.35775502961079536,0.0,0.0,0.5331632653061225,0.5331632653061225,0.5331632653061225,e677ca6268104eb09cd4df07c8cadea3
2017,82,42565,344246.9796162776,727,1.0,1,1,1,1.0,293.0,28.0,28.0,26.465754,26.465754,26.47,0.0,0.10973131484601688,0.0,0.0,2.606724593879864,0.0,0.0,a973b0b383594b12bea09a7475ad94d0
2017,51,58067,1000712.6465294528,3978,1.0,1,1,3,3.0,619.0,42.0,42.0,42.0,42.0,42.0,0.8456632653061225,0.3693144238737143,0.0,0.0,0.6071428571428571,0.6071428571428571,0.6071428571428571,b8686823dbe444a8ab679ad9e679b7fe
2017,24,34631,653079.4824532068,602,1.0,1,1,1,1.0,2000.0,28.0,28.0,28.0,28.0,28.0,0.984375,0.3958376869447495,0.0,0.0,0.875,0.875,0.875,95d181f473b54208a77623fbdaa0e58f
2017,42,57109,398310.5844974232,1521,1.0,1,1,2,2.0,198.0,35.0,35.0,34.999998,34.999998,35.0,0.9477551020408164,0.38865586909524175,0.0,0.0,0.7714285714285715,0.7714285714285715,0.7714285714285715,36e6846792274a23bcef5b851f34d588
2017,43,41759,515715.2975027591,907,1.0,1,1,1,1.0,250.0,28.0,28.0,28.0,28.0,28.0,0.8007015306122449,0.3611045436777292,0.0,0.0,0.5535714285714286,0.5535714285714286,0.5535714285714286,bad782f3954e4f37a6702642e5d6bdc8
2017,39,45002,656795.882417438,1567,1.0,1,1,2,2.0,272.0,35.0,35.0,34.999998,34.999998,35.0,0.9477551020408164,0.38865586909524175,0.0,0.0,1.2285714285714286,0.7714285714285714,0.7714285714285714,c1b852b307c84026936b5f62f24a5958
2017,56,84803,1148845.9090407058,1694,1.0,1,1,2,2.0,449.0,35.0,35.0,34.999998,34.999998,35.0,0.7570918367346938,0.35331593764464125,0.0,0.0,0.5071428571428571,0.5071428571428571,0.5071428571428571,f91b7bf76e54406fa5ec925e3d90607b
2017,41,27102,293474.022989764,868,1.0,1,1,1,1.0,216.0,28.0,28.0,28.0,28.0,28.0,0.8966836734693878,0.3788569080649409,0.0,0.0,0.6785714285714286,0.6785714285714286,0.6785714285714286,394ebcb129cb4a12b8ce1ff8a20d50c0
2017,7,1806,13417.078918719266,179,1.0,1,1,1,1.0,122.0,28.0,28.0,20.175343,20.175343,20.18,0.0,0.2419707245191433,0.0,0.0,0.0,0.0,0.0,3c5758f589534bd8a5b1a83e8b2fa3ec
2017,27,48369,437258.3027137264,706,1.0,1,1,1,1.0,220.0,28.0,28.0,28.0,28.0,28.0,0.4375,0.30113743215480443,0.0,0.0,0.25,0.25,0.25,0a54429e8b6541289e3f71c4a1e374b4
2017,45,2821,50819.41270858993,656,1.0,1,1,1,1.0,50.0,28.0,28.0,28.0,28.0,28.0,0.0,0.15884015441915675,0.0,0.0,2.357142857142857,0.0,0.0,f18af562970b4d30bfe8c7424dc61f7d
2017,24,396,4115.16615703142,92,1.0,1,1,1,1.0,130.0,28.0,28.0,28.0,28.0,28.0,0.9741709183673468,0.3938232501484804,0.0,0.0,1.1607142857142858,0.8392857142857142,0.8392857142857142,0bff0854eeb6489bac99401856afe13e
2017,132,209408,3649112.2372975517,6065,1.0,1,1,6,6.0,1034.0,63.0,63.0,63.0,63.0,63.0,0.99190952101005,0.3973317230738505,0.0,0.0,1.08994708994709,0.91005291005291,0.91005291005291,33a377cc3c8040f8a6e36d014e02ada6
2017,129,69429,745721.7470386537,2522,1.0,1,1,2,2.0,354.0,35.0,35.0,34.999998,34.999998,35.0,0.6226530612244898,0.3303468874284921,0.0,0.0,0.3857142857142857,0.3857142857142857,0.3857142857142857,34c7f39362d44d859f3efab491a64532
2017,53,62915,586058.5490621193,2608,1.0,1,1,2,2.0,472.0,35.0,35.0,34.999998,34.999998,35.0,0.8163265306122449,0.3639367217154837,0.0,0.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,9806752999e046d4a30f071272449cc7
2017,8,2217,22504.680632541334,190,1.0,1,1,1,1.0,1535.0,28.0,28.0,28.0,28.0,28.0,0.20280612244897955,0.2677944763458458,0.0,0.0,0.10714285714285714,0.1071428571428571,0.1071428571428571,581d3a60af41408bb43261e65744af71
2017,8,565,6010.760659499375,63,1.0,1,1,1,1.0,450.0,28.0,28.0,24.317809,24.317809,24.32,0.7221253624913435,0.3471925159197288,0.0,0.0,0.4728618421052632,0.4728618421052632,0.4728618421052632,4943bb8c49064a15b637f03cd88802e5
2017,62,20111,87423.30812750051,781,1.0,1,1,1,1.0,110.0,28.0,28.0,28.0,28.0,28.0,0.9540816326530612,0.3898872372672994,0.0,0.0,1.2142857142857142,0.7857142857142858,0.7857142857142858,472937bb84c24965acc293a0233916ed
2017,30,60996,462098.22757005744,1107,1.0,1,1,2,2.0,342.0,35.0,35.0,34.999998,34.999998,35.0,0.6734693877551021,0.3388479357567876,0.0,0.0,0.42857142857142855,0.4285714285714286,0.4285714285714286,ab338cc14923479d8516905be01b0afb
2017,49,109245,1299417.964681553,2411,1.0,1,1,2,2.0,747.0,35.0,35.0,34.999998,34.999998,35.0,0.9681122448979592,0.3926320321210658,0.0,0.0,0.8214285714285714,0.8214285714285714,0.8214285714285714,8b3899ca2fcd4119a3b8a8af7ec87ca2
